text,label
تعجبني وجيهه كيف تمثل فالمسلسلات ونحبها ونموت علاها,1
,0
mala mostawa w mala manta9 famech 7ad maset 9ado ya7ki 3la daleji chneya 3mal kali howa 3mal 7aja ya7ki 3la 2estiya2 je crois que ayso meno cest du bla bla bla il cherche le buz pas plus,0
3sal3,1
bravo,1
امسط منوا مريتش سنيه كلفار ملا رهط تفوه عليه,0
bravo,1
bkol basata mast last,0
mase5 matnejim tji ken 3ases tfoh 3lik,0
marajey a3mlo pub chneya bech tjibo el 7al9a jay 5ater hedha bethet mantsawrech fama chkon i7eb ytfarej fih 5it,0
bravo ,1
احقر انسان ريت في حياتي تفوه عليه,0
maset laset,0
ملا فصايح,0
اكبر منيك هوا العربي المازني فرخ ميبون,0
h walah ena zeda tchemet fiha car hya mesmema w mate9belch etfedlik,0
لطيف وحدك في الضحك,1
امسط من ملايكتو ما راتش عيني يا ناس راو غلّب عليا تمنيت لو كان جات عندي قدره نّحيلو الجنسيه التونسيه و نطيش والديه في زيمبابوي خلّيهم يستغلّوا هاك الراس و يعملوه دربوكه ماخيب منضروا و م امسط ملايكتو,0
محلاهم,1
لازم يبدلو اسمو في المضمون وي سموه ليلي والعار علي قنات كبير مثلي الحوار التونسي تستدعي هذا الشخص,0
انا عجبني بصراحه,1
اله غالب كمشه طاحنه مخالين الكوره و يتفرجو في قحاب مفيده,0
lotfi ya3tik sa7a charfet tones wa7dek el7asilo,1
صحيح y,1
زين و قد و لنهضه كلامها ابيض الخد,1
nan,1
ya m3alem,1
bravo sami fehri ama 3lech met liprince min awel 7al9a,1
مرا بالف طحان من الجهال الي يسبوا فيها,0
7al9a 3alamiya,1
لحم رخيص تفو علي اعلامنا و الفهري,0
maset,0
bader yam3alem,1
عامل فيها ضامر لكن طلع جالغ و وقع في فخ المقدم الماسط لبرنامج,0
h m3alem,1
صحيح الكلمه عيب و ما تجيش اما كيما قال يستفزو في الناس بصور خليعه يحترموا شويه الي قدامهم,0
مسلسل تافهx0d,0
rajel wlh farhat 3la barcha 9lob,1
راك ماسط,0
bravo ناجي جلول,1
borjolia ta3jebni maya ki tabda to3ber d,1
le kalba mafroth tesm7 o5tha,0
mamestak,0
tayara chekhna dhohk,1
tbarkala 3lih,1
et5awef,0
معلم واله,1
bal3ot ya9wa 3lih rabi,0
اسفي علا زمن يتحدث فيه مثلي و تحدث فيه عاهره علي الشرف x0d,0
mil bravo,1
h 9atloni bedo7ek vrament bravo h,1
oi vmt bravo 3,1
ه احنا اعجبتنا في التمثيل,1
ما شاء اله عليهم بنات اصول ربي يكثر منهم الناس,1
h bravo karim,1
ما شاء اله,1
بدايه محترمه,1
arjel men chamos aprt ça mra o 3liha leklem ,1
فنان موهوب,1
ماسقطو راجل توه الحبس تنحات منو الصبه والراقو مكذبك عندي احساس الا عدوه لدراقه ه خرج يهتري بالحبس تي المهم لكلها لغه باش يكمل عروضو في الحبس,0
machalah,1
bravo sami,1
moch 5ayib bidaya mowaf9a,1
معجبنيش وثقيل برشا,0
اكبر منافق من انتاج 14 جانفي,0
كل مره يجبولنا جرثومه اله يهلكهم,0
كلام موزون و معقول,1
3jebni,1
bravo,1
راجل راجل,1
ma7laha,1
m3alma,1
انا واحد من ناس متفرجتش و مقادش نحب نتفرج علي هل مناظر و هل اشكال التافهه,0
5it tfoh 3lih,0
mala chlaka,0
khit,0
maset,0
ijahl msiba,0
yaser mahleh ina kol lila ntaba3 fih bravo,1
h mala rhot,0
ja3for wa7dek fi jaw,1
7lwa barcha bravo,1
تستاهلها فتاه باهيه,1
العربي المازني كي الزبله في البوباله,0
bravo,1
ili ie3jbni fih dima iekhdem w i7awel fi kol mara bech i9adem makhirbravo,1
kamcha 5maj,0
thabel w n7ebek brcha ka momathla w ka masra7iya,1
موعدكم مع المساطه في لمن يضحك فقط,0
مسكينهياتونسلام,0
tfeh 3alik kif zebla kifek tatla3 fi tv,0
ma7lek w ma7le sotok w rabi yechfik rabi ma3k ,1
mamsto,0
باهي برشا ان شاء اله بتوفيق تعجبني بالمسلسلات,1
انت معلم يا جعغور,1
اشكر ياعلاء جزيل الشكر علي الاعمال الخيريه اي تقوم بها وان شاء اله يوصل كل غريب لاهله,1
bravo lotfi m3alem patron,1
برافو جعفور,1
انسان فاشل و مثل فاشل و تافه مستوي قفه و تلحيس المستقبلو الوحيد الشد الحبس وحدو و رتحنا من وجهو,0
احلي مسلسل واحلي قناه الحوار التونسي,1
bravo karim,1
برجوليه ماسط لاسط,0
bravo,1
راني مش داعشي لكن قولولها تحشم شويه كبيره راك,0
مسلسل فضايح,0
بالتوفيق والنجاح,1
masit,0
ena nhebha,1
اني نحبك بارشا يا وجيها انتي مومثلا شاطرا,1
عسل عسل عسل عسل,1
bravo,1
من اروع البرامج,1
bravo,1
machalah,1
em3alma wlh,1
7lowa,1
tfo,0
tawfik gharbi mostawa mon7at,0
a7la maryoma,1
محلاها ريم قداه مثقفه ومتربيه انا نحبها برشا,1
3ib walah mostewiyet,0
مثال لمراه التونسيه الاصيله,1
tfoh 3la harahit ya khamja dhahir fiha hata hia yarhim 3ami mo2nith yna3il bok,0
maaaaaset,0
بلعوطه,0
mahlek,1
rabi nchlah m3ak,1
tfoh 3a ratsa mta3 bok ya masa5 ya 5amej 3tak el wa9t wta7ki 3al club tfoh,0
bravo 3liha,1
brabi sayboh chakib war7moh wenti ya amin rak kathartelha mamstik,0
مستوي المسلسلات ازيد في الفساد في البلاد,0
mek ta7an,0
lem3alem,1
m3alim zawali w nas tayba top,0
bravo lotfi enti tmathel elwe9a3 mta3 barch twensa w kima y9oloha la79i9a mora,1
ماسطه لاسطه و ملايكتها رزينه من انتم,0
وليد التونسي رتحت علء قلوبنا اليله برافو ,1
mat7chemch 5amja,0
h dhamer w 3la ma7leha ydha7ekni moch normal bsara7a wasel,1
bravo sami,1
بابورك زفر وبديت تهز و تنفض,0
كريوك خنث تافه طحان ماسط جبري فاشل لكز عفش رهط فاسد متخلف مريض,0
ja3for ya tahfon,1
moche 3adi bravo,1
تفوا عليك عامله روحها مثله تي وكان يهطوني مال الدنيا ويقلولي اتفرج نرفض علي خاطر فما وحده خسيسه تفوا عليك,0
محلاه دور حنان وكريم الغربي,1
w hia hal lmarik likifha ta3raf siyam wla t9om lisalat pf,0
واله ماسط هو و خوه و بوه رذال الكل,0
وقحْ موش متربي ما يحترمش عاءلات الي تشوف فيه,0
mamstek ya amine gara,0
m3alem y,1
امين اقوي ما عنا توا عسل الدنيا نقطه و ارجع لسطر من غير نقاش,1
tfih 3lik o 3la amthalek t7arbo fi rabi o t7ebo tredo 7ram 7lel b sif moch minek mili jebek o 3melek 9ima o 9dar tga3ad wahf ihizkom mantharkom ya9ta3 5mira min dar ,0
bkolkom jebtolna ezebla,0
pf ma l9aw ma yjibo elilahal chawkete na9esha forchete w twali tastira hara h,0
برشا خمج,0
n7ebek barcha ya 3aycha,1
لطفي العبدلي الكلب الصفاقسيه اسيادك ياكلب ياحيون ياڨبوط ياكلب ,0
امك جابت واحد مش راجل كيفك,0
ملا شلايك اعلام منحرف,0
ماسطه,0
جعفور يا معلم انت مثال لفنان التونسي الي نتمنوه اليوم,1
masta lasta ikeb is3odkom,0
ما خيب مناظركم شكل شياطين,0
bravo khadija ابدعت,1
ti chbih ya7ki haka 9ololo yestarjel we ya7ki ki erjal ma5yab raso,0
طياره,1
3ejbetni barcha ema metchaw9a chkono weld chrif,1
راك ماسط راك لاسط راك سلعه كلخه o,0
مرخوفه برشه,0
fasadtoh barnamej 3lah haka ,0
ana man7eboch ama 3jebni klemo,1
3 3 ma7leha,1
m3alem,1
nademni 3la enhar eli 7alet fih etlfaza ya rabi saberna,0
waw bravo sami ya m3alem,1
عنصر مشاغب لا يليق بالبرنامج,0
احلا برنامج والي احلا منه المذيع,1
barvo 5oya ja3for atyb ensin rito,1
kathrelha blmsota mele5er ,0
wlahi rajel ya walid bravo,1
لمرزوقي خير منكم وخير من امثالكم,1
ياسر كثرت في المساطه يا باسل وكرهتونا في التلفزه انت وامثالك,0
ravo olfa,1
ma7lek najla,1
برافو وليد علي موقفك ونتي من فنانين الي اشرفو تونس,1
bravo hanen,1
احسن مثله ربي معاك يا وجيهه,1
bravo,1
rajel,1
bravo ya3tek sa7a y,1
tahfona,1
3asla,1
kol monachet 3ando wahrto w howa mtrabi barcha w ya3ref yahki,1
baya chbik haka masta lasta w bodi 9rib tcharko men ketfo w yaser walit madhroba fi ro7ek,0
bsara7a ma ta3rafich tmathil jimla,0
هذه نسخه من ثعالب تونس القحاب و الملاهط و حاشه بنات الاصل المتربين في حجاب و خمار و الزين و العين ,0
0 mamsteha,0
barcha 9elet torbya w9let 7ya 3ala9al e7tarm chehar eli a7na fih 5af men rabi kifech bech t9ablo raho maynf3ek chy gir fe3lek tayeb ,0
ماستا برشا و النادي الافريقي اكبر منك يا طحان ماك كنت تخدم عندو سليم الرياحي يا ميبون,0
ها مقداد شد دارك راك ماسط لاسط بجاه ربي معادش تدعوه في تلفاز راه ماسط,0
k bravo hanen ,1
tahfon ,1
ولد وطربي متخلق معندوش كلام زايد يرحم من قراء و وري يرحم لميمه اش جابت,1
كراوك اخر الزمان,0
توا هذه برامج يجيبوها ومن بعد يقولو شبي الشعب فسد,0
yo9tol ,1
fi belek bro7ek t7azen el galeb,0
alah yehlek dhalem,0
متعرفش تحكي,0
m3alam,1
m3lem dima 3endek mawe9ef 7lowa barcha,1
نبزق علي القناه و نتعدي تفوه,0
محلا زينها مل تحفونه,1
blid w rkik,0
ماسط لاسط فارينه,0
walhi gadeto bravo ,1
ya 5asra walhi 5alit balstik ya chakib,0
كلب كبير,0
تستمرمناقشه الامور التافهه طويلاً لان البعض يفهم فيها اكثر من الامور المهمه ,0
walah bravo monsieur ministre naji jalol yar7am om ili jabitik,1
معلم بو الهش,1
انسان رخيص,0
khit,0
ماسط لاسط بف,0
يدعي النضال و هو اكبر منافق عدا سنين يضرب في الاورو في اوروبا و كي تحركت الرجال و نحت بن علي الكلب ركب عالاحداث و رجع يتبكي بدعوي المنفي ,0
nmoto 3lik ya fanena wa7dek,1
اكبر جحش في القنات,0
فسدت برنامج الراجل بضمارك الثقيل,0
tfoh mosalsal ro5s w 5zih,0
يا معذبهم d,1
a7sen momathla fi tons,1
يعرف اش يقول و واثق من روحو,1
metkabra barcha,0
a79ar ma fama fil a3lam,0
loled jawokom a7la jawo bravo,1
برافوا سامي,1
واله عاءله قروده حاشا القروده,0
ربي يحفط تونس امنورين صفحه ربي يحميكم,1
بصراحه مثقفه و تعرف تحكي,1
yhabal yasir tyara,1
chbik maset el bereh edrama athret 3lik,0
برافو صافي سعيد كل كلامك منطقي,1
machalah,1
ماسطه,0
تفوه عليكم و علا سامي نشاله نرو امك في موقف كيما هكا و لا ترحم ولديه المصور و المثل قلت حيا,0
برافو الرحموني واله بردلي علي قلبي,1
مكثر ها عهرات وكان القيت ذكر في وصتهم رهو لي عندو في الدار عاهره تفوه عليكم كان تولوا عباد يا خماج,0
عبيطه,0
masta,0
kn fama wa7ed nakerhoh raho enti ya kalb,0
tbarkalah a3leha,1
flop zina,0
bravo khadija,1
جعفور يا معلم انسان باهي رجال متواضع يحب الخير لناس حنين انشاء اله ربي يوفقو في خدمتو وفي حياتو,1
masit lasit,0
bravo walah baketni,1
حسبي اله ونعم الوكيل ما فسدتو اخلاق الناس كان انتم تحبو حريه الصحافه بالانحطاط الاخلاقي,0
تحيه كبيره لخويا جعفور,1
راک ماسط راک لاسط راک سلعه کلخه ما تشيخ الراست ,0
عزوزه خارفه,0
l animateur raho maset brabi bedloh,0
behia,1
hay lifdhaya7 lol,0
سءال حقير لا يصدر الا من قناه حقيره معاديه لاسلام و الشعب,0
nhebha,1
ma7la zinhom masab jew fama e5wa kifhom,1
شنيه هاذي لا تمثل المراه التونسيه,0
شتقصد عمرنا مكرهناها كوثر بالحاج بالعكس نحبوها كل,1
اكثر انسان مضروب في روحوا,0
tfih 3lih tahan w la7as,0
te3jebni,1
ja3for yaser ya3jebni f klamo mchalh a3lih yefhmelha barcha w bravo vrament ynajem dawro rabi e3eno nchalh bone contuniasiont,1
من فضيحه تحول الكلمه الي فضوحه ه,0
بصراحه ما يحبك حد اكرم لحيتك بيدك وانسحب من النقابه ومن الساحه الفنيه ماهيش بلاصتك تحكي علي التربيه وانت لاسف موش متربي تحكي علي الاخلاق وانت موش متخلق اختار العبارات المناسبه كيف تحكي قدام الجمهور والعايلات بالاخص خاصه وقت الي تكون متغش,0
maset maset 3la il 7eyt pf,0
mra bwahritha w 3indha met9ol 3la ro7ha,1
3asba,0
امسخين الكلهم,0
masete laset,0
flob flob ملا رهط العيب موش فيه في الاعلام الماجور الي عمل لناس هذ قيمه التافه ولا عندو قيمه فالبلاد,0
kathertolha mel msota,0
طياره و ولد اصل خذيت بلاصتك في كلام الناس اما نحي نقولك الي التجمع بح,1
تفوه عليكم خماج,0
dima mnawer ya amine,1
balti yam7li sahrya,1
lem3alem obhorna,1
شبابريفي,1
تحيه تقدير لهذا الرجل المناضل,1
اله لا تباركلك يا سامي الفهري يا رب يورينا فيك ايام سودا وتكون عبره لغيرك الي يفسدوا في الشعب و يولي كل شي مباح,0
ah fora m3lma bsar7a,1
خساره الفن بريء منك حتي تحسن الفاضك المثل يقول الرزانه حكمهاخجلتنا وسط العاءلهالشيب والعيب,0
الحق موش فهالخامجه النكره الحق في جايبها ومدخلها لبيوت الناس ياخي ماعندهمش عايت وصغيرات يخافوا علهم من هالمارك الفاسده علي زوز فرنك يبيعوا ارواحهم وبدهم عار عليك ايتها الحبيبه تونس هءء اشكال المقيته,0
كلامها واضح و صريح و تعرف توصل الفكره و لكن شكيب و كلامو وحدو,1
mamstomaya3rafch ya7ki,0
صافي سعيد من ضيوف الي نستفادو منهم علي عكس باقي سياسين,1
الكل يحبك و سيبق يحبك يا اميره كلنا نحبك عيون تبتسم و تنظر الي بعيد دالك البعيد سيقترب و يسعد حياتك رغم كل حال اله يسعدك و ينجحك في حياتك,1
maset,0
maset,0
manel ya 9a7ba,0
mchalh 3aleha walh,1
m3alem,1
maset barcha,0
محلاك واله و محلا هدرتك,1
kif n9olo tamthil n9olo laminenahdi,1
هءلاء قوم لا يمكنهم العيش بكرامه و لا بحريه هءلاء يعشقون جلاديهميرقصون فرحا لعوده احد كلاب بن علي اليوم كم يتمنون في انفسهم عوده سيدهم بن علي,0
قابسيهومايمثلنيش,0
برافو امين في كل مره تجيبلنا تحفه كيفك ه,1
الفاجرات من اهل نار,0
nmot 3liha w ne7bha ,1
mala 5amij moch kan mcha ,0
هذا كلب اخواني وحرام يظهر في التلافز,0
عالم منافق,0
كلمات تافهه من عبد اتفه لا خلق لا خليقه لا باب لا سويقه يعطيه دا علي لونها الازرق يزيد يزرقوا,0
wajiha rzina ma7la taltek,1
m3alem,1
sot 7lo,1
ya mamsto mahoch chala9 b ro7o ghaltoh,0
مسلسل عالمي,1
الطمع او قطعان الرقبه متحاذين و الحقار يموت ذليل روحي وهف يهزك,0
تقتل ماشاءاله ربي يحميها الزين الاسمر وحدو,1
فوزي انسان يخاف ربي و باهي,0
قناتكم عملت الريحه,0
tfate9 bezin,1
اكبر منافق و لحاس في تاريخ البشريه,0
اكثر حاجه خايبه في كلام الناس هي ما يا القصوري و عار علي تونس اتحداكم كان تعديو كلامي,0
مسطو و مخيب صوتو ,0
موش بلاصتو بربي بكفي من هذه الوجوه الي خنقتونا بيها رجعولنا مايا خلي كلام الناس يرجع الي حيويته,0
brajo wajiha,1
bhima,0
ماسط لاسط ماسط لاسط ماسط لاسط اخر واحد يحكي ع الثقافه فاقد الشیء لا يعطيه,0
طاهر المخنث,0
نهارك فل لاحسن واحد في الدنيا الكل,1
3ejbetni barcha ema bakeni barhom meskin,1
مراه بالف رجل,1
yo9tel b dha7ek wasel h 3ando barcha dhmar,1
احسن كوميدي تونسي و تفدليكو يدخل لقلب فيسع تحيه ليك و لاخلاقك العاليه جعفور ,1
tfoh 3la ha rahet naten la7as ta7an mch rajel w ya 5oya chakib enta elghalet tna9ech fi ensan lebhim motrabi 5ir mnhom,0
لا يليق بهذا البرنامج ,0
انا نلوم علي امين قْاره الي جابو مصطها الحلقه و اطيّح من مستوا البرنامج,0
mala manader mwachmim,0
m3alem,1
هذيا ماسطه لاسطه,0
خمر و زنا و فساد و قله حياء من فوق x0d,0
amine gara mamstik w zedt masetha ki jebt hal cataplasme finik ya nafel ya werteni ,0
برافو يا سي مقداد و نحنا رانا معاك واصل,1
ارزن و اعمل عقلك وهف يهزك فمها تقول كونفارس و هي باش تطير مناظر مقلبه x0dx0d,0
بيه ماعيش عاديه مخيبها صراحه انا متعجبنيش حتي طرف كل دقيقه وهي تهبط في المريول ياخي نسيت عمرها ولا شو,0
bravo ‼ bien,1
bravo,1
من احلي النساء و محلي ضحكتها هذي النساء برسمي اناقه و عقوليه وتربيه راجلها خذا و ربح,1
bravo ahmid m3alim,1
ma7lehom bravo sami fehri,1
نعله اله عليكم واحد تلو الاخر يا مثلين يا خونه يا صهاينه وخاصه الكلاب سامي الفهري الهم ارنا فيهم يوما الهم اخزهم في الدنيا و الاخره يا اكرم اكرمين,0
مقل تربيتك,0
hlow,1
مخيبو و مسطو,0
bravo,1
كويسه متازه وربي معاها,1
ه طايره,1
mamstek ya semi ken fi belek suspense raho maset barcha,0
bara rawa7 ya chakib marzinik makch cham chay m dinya l tsir,0
bravo sami,1
chapeau,1
يعن بوك وبو بوك يا مسخ تفو عليكم وعلي امثالكم,0
محلها,1
mala msota,0
machalah,1
7lowa,1
ta7fon 3ale5r,1
هذا عار تونس,0
صادق,1
بصراحه العيب موش فيه العيب في اعلام العار الي مستدعيه,0
عيب عليك يابندرمان تونس مهياش كوريـي تونس برجالها ونساها ولو جات كوري راهو حالها مثل ليبيا والصومال واليمن احمد ربي الناس دفعت ارواحها مقابل هذه البلاد باش سيادتك تنعم بالامن والامان وتقعد في بلاطو تلفزي وتبدا تسيب في الريق لبارد متاعك وينك يا لطفي لعماري علاه مسكتوش عيب واله عيب,0
ماسط عمل العار محابش يحكي مع شكيب خاطر يخاف يواجهو ,0
ما يحترم حد و ما يقبلش الفدلكه كيفاه يجي فكاهي مش فاهمه,0
bravo,1
الشّيب والعيب,0
bravo,1
3alami ,1
ama moch hlow 3aylet rana nitfarjo un peu de respect,0
التشقنيس نسمع بيه لين ريتو,0
ملا منظر جداقوا تقول كونتوار متاع حماص,0
مثله تعجبني متثقفه و من احسن المثلات الي يعجبوني ,1
msta,0
zina ghnak elkol jazayri a7chmi bla sar9a,0
تونس تعبان بالشلايك كيفها سامحني شنيه هذي المثليه الجنسيه في الجزاءر كورو بيهم و في تونس عندهم جمعيه بف ينعل بن المخير فيكم,0
ui bravo ,1
مسط عبد بش منقولش راجل خاطر مش موالمتک مخیب راسک,0
bravo,1
walahi fanen,1
yo9tel b dho7ek ,1
bo zink ma7lek ,1
ana nhbha,1
ماسط لاسط فارينه,0
maset,0
اله لا يفرج عليه,0
اخرتها جايبين متشرد طحان لحاس لاكبر كلب بن علي هز المليارات وهرب وخلالنا طحانه مربيهم عالرخص والذل بصراحه برافو بن علي عرف يربي كلابو,0
يا قناه الحمار يا قناه الدعاره يا قناه الماخور تفوه عليكم و علي كل كلب دافع عالمثليه الجنسيه يا مسخين يا كلاب يا فساد لعنه اله عليكم و علي ولديكم الكلاب يا مسخين يا ولاد الكلب,0
moch blasto bsara7a damo rzin,0
masat ma5yeb manfare,0
بصراحه هاو الضحك الصحيح مثلين بارعين محلاهم3,1
brabi me3adch tjebelna lemlahet ki manel 5it fthi7a la sot la menther tet3alem fil fines bisif ,0
ya3tih 3ma 3la 3inih dhaher men wejho mahoch rajel masa5 masa7 ro93to meded wejho winekech sobhan alah bel7ak edenya bech tofa,0
محلاك عيشوشه نموت عليك ,1
اكيد باش تقري الكومنتارات بعد البرنامج  نقلها راك نكره و تافهه و دخلت دخله غالطه طحت قبل ما تقوم,0
bravo semi,1
خامج,0
3sal n7ebha barcha,1
ikhit t9ol chitane,0
bravo etheke lklem s7i7,1
samir elwafi 9adekch masa5 w ma3omrek ma kont mo7ayed tes2el fih w mat5alihoch ijeweb 9adekch tefah walah,0
امونه يهبل ناس طيبه واله,1
اتفه انسانه ريتها و تقول مثله منين جك الموهبه تفها و ساخيفه ت حمقاء و زيد عفشه و متصلحش فنانه تمشي تحل كيما قلت هي حانوت كسكروتات موش تعلمت كلمتن بسوري ولات تعطي في حقوق لانسان تف تف تف تف عليها و علي ملا حاله في تونس ,0
rawra,1
bsara7a walid kber fi 3ini w7asito rajel,1
يا ريتني جيت غادي اقسم باله انا طفله و نخرجك ازرق مفرك تعرف نعيمه الجاني اش عملت في لسلوسه وكلتو البوزه يا خنيث اندادك يا كلب لعنه اله عليك دنيا و اخره اما العيب موش فيك العيب في الماخور التونسي الي جابك تفو عليك و عليهم اله يهلك خليتني نهبط لمستوي مهوش مستوايا وين باش تلقاو قبوراتكم يا تحبو تقطعو النسل البشري حرام عليكم حرام حرام حرام اله يحرقكم بالنار و يطفيوكم بقاز كيف محرقتولي اعصابي اله لا يحقلك حق و يجعل راسك يتشق انت و امثالك وهف يلمك المشكله الي انا نحب نعايرك اش باش نقلك ماكش راجل  يا ناري ماكش باش تحسها,0
لحاس,0
mamstek w mathkel mleyektek,0
meskina ya tones,0
حسين الديك صوت فوق الخيال اله يوفقك,1
testehel yeser da3wa t7esha mala lokza,0
عمري لا حبيت وليد التونسي اما ليوم عرفت قيمتوا راجل و سيد الرجال,1
عفاط عالحيط و الراب مايفهم منو شيء و زب ليك يا قناه الواط انتم الي تكبرو فالجربوع و خوه زبلكم ,0
mahleh w rabi inajho,1
maset ya sami,0
m3alem,1
5it wakahaw,0
في قناه الحوار التونسي ثمه برنامج و حوار و كذا ايا طلعوا علاش  عالبطاله  لا علي الوضع الاقتصادي المزري  لا علي الفقر  لاعلي الفساد  لاعلي الثروات المنهوبه  لا امالا علاش  عالمثليه الجنسيه سيدي خوياي نعم وفات مشاكل تونس الكل و قعدولنا كان المثلين نحكو عليهم لا و قالك غدوه زاده برنامج اخر علي نفس الموضوع في نفس القناه يلعن مذهب بوكم الكلب راكم عملتو الريحه يا سب نكبتنا اعلامالعار,0
mate7chemch ye5i fe tv wmaryolha ybayn kol chay l7a9 feli rabok,0
اتفه ما شافت عيني,0
ما يعجبنيش 020,0
استر ما ستر اله قله حياء,0
barvo sami hasan moslasla fi dinya,1
ثرثار,0
محلاك يا مي ,1
mela tkarkira haha,0
ان شاء اله تنقسوا شويا من قله الحياء,0
يضحك ياسامي برفو برفو,1
manadher m9alba pf,0
هي فنانه عندها مستقبل كبير ان شاء اله,1
تمثيلها باهي اما يا وجيهه التواضع باهي راو رانا جيران,1
mala kalib,0
momathla momteza b1 joer le role,1
فسّخناكم و رتحنا من وجوه الـوح متاعكمتفوه,0
بصراحه اسقط منك ماريتش المسيح و احترمو ديانتنا اقل شي ما يفطروش قدام المسلمين في رمضان و انت لخمج الكل ما تفكرو كان في رمضان,0
الحقاره والنذاله والسفاله لها عنوان واحد توفيق الغربي,0
masta,1
مستويات منحطه,0
mcharefna be7dhorek m3alem ,1
رقاص و لحاس الحجامه,0
bara dewi mridh pf,0
mahlaha kifech jabtaha,1
احسن مثل في ادوار الكول,1
محلاها مرتك اله يحفضكم,1
mrigl ena 3jbni,1
tefehet,0
الشيب و العيب ما عندي ما نقول,0
h ma7leha elama,1
قاضي مريض وغالط في نفسه وحيوان,0
khamsa w khmis 3lik ya lamin el kef jebet rjel ,1
فنانه,1
raw3a,1
انت معلم يا وليد برافو علي موقفك الرجولي,1
mamsto,0
bravo amin,1
مرا عفويه و تستحق الاحترام,1
tbarkal 3alih,1
يا سامي يا حيوان يا كلب x0d,0
3tatk dnya ya jabri ya ghafas,0
bravo 3liha machalah,1
